indicator,Pa¡s__ESTANDAR,A¤os__ESTANDAR,value,unit,notes_ids,source_id
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2000,2246778,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2001,2195721,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2002,1962673,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2003,1994446,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2004,2284196,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2005,2781305,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2006,3260605,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2007,3864227,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2008,4526146,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2009,4194711,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2010,5144240,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2011,5993303,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2012,6047519,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2013,6216045,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2014,6143278,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2015,5221304,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2016,5091083,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2017,5588568,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2018,5472335,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2019,5326429,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2020,4504889,Millones de d¢lares,,1753
Producto interno bruto (PIB) total anual a precios corrientes en d¢lares,Am‚rica Latina y el Caribe,2021,5083858,Millones de d¢lares,,1753
